trash,Font,Text,num
0,0.0,"wnba, gesta, Helvetica, Helvetica, Arial, sans-serif",Two-time SEC Player of the Year Rhyne Howard of Kentucky tonight was selected by the Atlanta Dream with the first overall pick of WNBA Draft 2022 presented by State Farm®.,
1,1.0,"wnba, gesta, Helvetica, Helvetica, Arial, sans-serif",,
2,2.0,"wnba, gesta, Helvetica, Helvetica, Arial, sans-serif",,
3,3.0,"wnba, gesta, Helvetica, Helvetica, Arial, sans-serif",,
4,4.0,"wnba, gesta, Helvetica, Helvetica, Arial, sans-serif",,
5,5.0,"wnba, gesta, Helvetica, Helvetica, Arial, sans-serif",,
6,6.0,"wnba, gesta, Helvetica, Helvetica, Arial, sans-serif","Jonquel Jones was named 2021 Kia WNBA Most Valuable Player. This is the first WNBA MVP Award for Jones, who was the 2018 WNBA Sixth Player of the Year and 2017 WNBA Most Improved Player.",
7,7.0,"wnba, gesta, Helvetica, Helvetica, Arial, sans-serif","Copyright 2022 NBA Media Ventures, LLC. All rights reserved. No portion of NBA.com may be duplicated, redistributed or manipulated in any form. By accessing any information beyond this page, you agree to abide by the NBA.com",
8,8.0,"wnba, gesta, Helvetica, Helvetica, Arial, sans-serif","If you are having difficulty accessing any content on this website, please visit our Accessibility page.",
9,9.0,Arial,,
10,10.0,Arial,,
11,11.0,Arial,,
12,12.0,Arial,,
13,13.0,Arial,,
14,14.0,Arial,,
15,15.0,Arial,,
16,16.0,Arial,,
17,17.0,Arial,,
18,18.0,Arial,,
19,19.0,Arial,,
20,20.0,Arial,,
21,21.0,Arial,,
22,22.0,Arial,,
23,23.0,Arial,,
24,24.0,Arial,,
25,25.0,Arial,,
26,26.0,Arial,,
27,27.0,Arial,,
28,28.0,Arial,,
29,29.0,Arial,,
30,30.0,Arial,,
31,31.0,Arial,,
32,32.0,Arial,,
33,33.0,Arial,,
34,34.0,Roboto,"We and our partners store and/or access information on a device, such as unique IDs in cookies to process personal data. You may accept or manage your choices by clicking below or at any time in the privacy policy page. These choices will be signaled to our partners and will not affect browsing data.",
35,35.0,Roboto,"Use precise geolocation data. Actively scan device characteristics for identification. Store and/or access information on a device. Select basic ads. Measure content performance. Select personalised ads. Create a personalised ads profile. Select personalised content. Create a personalised content profile. Apply market research to generate audience insights. Develop and improve products. Measure ad performance.
List of Partners (vendors)",
36,36.0,"Roboto, sans-serif",,
37,37.0,"Roboto, sans-serif",UNTIL THE 65TH ANNUAL PUERTO RICAN DAY PARADE,
38,38.0,"Roboto, sans-serif", ,
39,39.0,"Roboto, sans-serif","Applications available now on NPRDPinc.org
Deadline is Saturday, April 2, 2022
Eligibility nationwide, including Puerto Rico
Past recipients eligible to re-apply",
40,40.0,"Roboto, sans-serif", ,
41,41.0,"Roboto, sans-serif","February 14, 2022, New York City – The National Puerto Rican Day Parade (NPRDP) is now accepting applications for its 2022 National Scholarship Program.",
42,42.0,"Roboto, sans-serif","For the sixth consecutive year, the NPRDP will award 100 scholarships valued at $2,000 each,
for a total $200,000, to exceptional students of Puerto Rican descent that are making a difference in their communities. Applicants must be high school seniors or full-time college/university students in their freshman through junior years in college.
“Since 2014, we have awarded over $1.2 million through the NPRDP scholarship program, and we are proud and excited to continue supporting students in our community in their pursuit of higher education,” said Louis Maldonado, NPRDP Board Chair. “Recent winners have represented over 20 states and Puerto Rico, and we expect to broaden participation even
further in 2022.”",
43,43.0,"Roboto, sans-serif","To be eligible, applicants must meet the following criteria:",
44,44.0,"Roboto, sans-serif","● Be of Puerto Rican descent (at least one parent);
● Have a grade point average (GPA) of 3.0 or better, or equivalent high school grade;
● Be a high school senior or freshman through junior in college, ages of 17 through 25;
● Be enrolled in an accredited two or four-year college/university, for college students;
● Have a track record of doing volunteer work or community service;
● Participate in an interview with a member(s) of the scholarship selection committee.",
45,45.0,"Roboto, sans-serif","Scholarship winners from prior years are eligible to re-apply, given that they comply with all other eligibility criteria. The scholarship application is available for completion at www.nprdpinc.org. Candidates must electronically submit their completed applications and upload essays, academic transcripts and other requirements by Saturday, April 2, 2022. Materials received after this date will result in disqualification. NPRDP Scholarship application packages must include: a completed application form; an essay; a written biography; two letters of recommendation, of which one letter of recommendation must be from the site where the student performs his/her volunteer work; official academic transcripts and a head shot photo. Letters of recommendation should be requested from teachers, professors, counselors, mentors, clergy, community leaders, etc. Letters should speak to the applicant’s community service, length of the relationship with the candidate, and any specific contributions the applicant has made to the community.",
46,46.0,"Roboto, sans-serif","For more information about other NPRDP programs and updates on the upcoming annual parade on Sunday, June 12, 2022, the public can visit www.nprdpinc.org. Facebook: @nationalpuertoricandayparade. Twitter and Instagram: @PRParadeNYC.",
47,47.0,"Roboto, sans-serif",###,
48,48.0,"Roboto, sans-serif","Become a Sponsor
 ",
49,49.0,"Roboto, sans-serif","All Applications due April 27th
 ",
50,50.0,"Roboto, sans-serif","Come Celebrate
 ",
51,51.0,"Roboto, sans-serif","The Press Application Deadline is May 15th
 ",
52,52.0,"Roboto, sans-serif","Get Involved in the Parade ~ Become a Volunteer
 ",
53,53.0,"Roboto, sans-serif","Become a Vendor
 ",
54,54.0,"Roboto, sans-serif","Show Us Your Swing
 ",
55,55.0,"Roboto, sans-serif","The National Puerto Rican Day celebrates and honors the leaders, educators, artists, and celebrities that have left a cultural footprint on this nation. ",
56,56.0,"Roboto, sans-serif","We joined forces with Lin-Manuel Miranda renowned actor, singer, composer, writer and Nuestro Orgullo, to create a specially designed National Puerto Rican Day Scholarship Fund TeeRico t-shirt. ",
57,57.0,"Roboto, sans-serif",Proceeds from the sales of the t-shirts will benefit NPRDP’s Scholarship Fund.  Your purchase will help support the pursuit of higher education in our community!,
58,58.0,"Roboto, sans-serif",T-shirts are $29 and available in black and grey.,
59,59.0,"Roboto, sans-serif", Click Link Below To Buy Yours!,
60,60.0,"Roboto, sans-serif",Puerto Rican Scholarship Fund Tee,
61,61.0,"Roboto, sans-serif",,
62,62.0,"Roboto, sans-serif", ,
63,63.0,"Roboto, sans-serif", ,
64,64.0,"Roboto, sans-serif",,
65,65.0,"Roboto, sans-serif",,
66,66.0,"Roboto, sans-serif","National Puerto Rican Day Parade Inc.
P.O. Box 975 New York, NY 10272",
67,67.0,"Roboto, sans-serif","General Info: info@nprdpinc.org
Scholarships: scholarships@nprdpinc.org",
68,68.0,"Roboto, sans-serif",,
69,69.0,"Roboto, sans-serif",,
70,70.0,"Roboto, sans-serif",,
71,71.0,"Roboto, sans-serif",,
72,72.0,"""Open Sans"", ""Trebuchet MS"", Helvetica, Arial, sans-serif",Guidance for criminal cases in the Crown Court where action by members of the CBA results in a refusal to accept returns.,
73,73.0,"""Open Sans"", ""Trebuchet MS"", Helvetica, Arial, sans-serif",12 April 2022 | Announcement,
74,74.0,"""Open Sans"", ""Trebuchet MS"", Helvetica, Arial, sans-serif",11 April 2022 | Announcement,
75,75.0,"""Open Sans"", ""Trebuchet MS"", Helvetica, Arial, sans-serif",11 April 2022 | Announcement,
76,76.0,"""Open Sans"", ""Trebuchet MS"", Helvetica, Arial, sans-serif",The starting point for the consideration of anonymity orders is open justice,
77,77.0,"""Open Sans"", ""Trebuchet MS"", Helvetica, Arial, sans-serif","Keep up to date with the latest news, judgments & publications.",
78,78.0,"""Open Sans"", ""Trebuchet MS"", Helvetica, Arial, sans-serif","The Judicial Office is committed to ensuring digital accessibility for people with disabilities. We aim to continually improve the user experience for everyone, and apply the relevant accessibility standards.",
79,79.0,"GraphikMedium, sans-serif","Now available: Dried Noodles, Chili Crunch, Seasoned Salts, and more.",
80,80.0,"GraphikMedium, sans-serif",We're offering some of our favorite dishes for nationwide shipping through Goldbelly.,
81,81.0,"GraphikMedium, sans-serif",Purchase eGift Cards to Momofuku restaurants.,
82,82.0,"GraphikMedium, sans-serif",Sign up for our newsletter to get updates on these and other upcoming projects.,
83,83.0,toyota_displayregular,"Comercializamos nossos veículos exclusivamente através de nossa rede de concessionárias no Brasil, portanto, fique atento aos possíveis golpes e fake news. Saiba mais aqui.",
84,84.0,toyota_displayregular,"Otimizamos sua experiência durante a navegação através do uso de cookies. Continuando em nosso site, entendemos que você está de acordo com nossa Política de Cookies, assim como nossa Política de Privacidade.",
85,85.0,toyota_displayregular,,
86,86.0,toyota_displayregular,,
87,87.0,toyota_displayregular,,
88,88.0,toyota_displayregular,,
89,89.0,toyota_displayregular,,
90,90.0,toyota_displayregular,,
91,91.0,toyota_displayregular,,
92,92.0,toyota_displayregular,,
93,93.0,toyota_displayregular,,
94,94.0,toyota_displayregular,,
95,95.0,toyota_displayregular,,
96,96.0,toyota_displayregular,,
97,97.0,toyota_displayregular,,
98,98.0,toyota_displayregular,,
99,99.0,toyota_displayregular,,
100,100.0,toyota_displayregular,,
101,101.0,"toyota_displayregular, sans-serif",,
102,102.0,"toyota_displayregular, sans-serif",,
103,103.0,"toyota_displayregular, sans-serif",,
104,104.0,"""Toyota Type"", helvetica, sans-serif",,
105,105.0,"""Toyota Type"", helvetica, sans-serif",,
106,106.0,"""Toyota Type"", helvetica, sans-serif",Corolla Cross 2023 com Toyota Safety Sense em todas as versões.,
107,107.0,"""Toyota Type"", helvetica, sans-serif",,
108,108.0,"""Toyota Type"", helvetica, sans-serif",,
109,109.0,"""Toyota Type"", helvetica, sans-serif",,
110,110.0,"""Toyota Type"", helvetica, sans-serif",,
111,111.0,"""Toyota Type"", helvetica, sans-serif",,
112,112.0,"""Toyota Type"", helvetica, sans-serif",,
113,113.0,"""Toyota Type"", helvetica, sans-serif",,
114,114.0,"""Toyota Type"", helvetica, sans-serif",,
115,115.0,"""Toyota Type"", helvetica, sans-serif",,
116,116.0,"""Toyota Type"", helvetica, sans-serif",,
117,117.0,"""Toyota Type"", helvetica, sans-serif",,
118,118.0,"""Toyota Type"", helvetica, sans-serif",,
119,119.0,"""Toyota Type"", helvetica, sans-serif",,
120,120.0,"""Toyota Type"", helvetica, sans-serif",,
121,121.0,"""Toyota Type"", helvetica, sans-serif",,
122,122.0,toyota_textregular,,
123,123.0,toyota_textregular,,
124,124.0,toyota_textregular,,
125,125.0,toyota_displayregular,Juntos salvamos vidas.,
126,126.0,"system-ui, sans-serif","Attackers might be trying to steal your information from beauty.vogue.it (for example, passwords, messages, or credit cards). Learn more",
127,127.0,"system-ui, sans-serif",,
128,128.0,"system-ui, sans-serif",,
129,129.0,"system-ui, sans-serif",,
130,130.0,"system-ui, sans-serif",,
131,131.0,"system-ui, sans-serif",,
132,132.0,"system-ui, sans-serif",,
133,133.0,"system-ui, sans-serif",,
134,134.0,"system-ui, sans-serif",,
135,135.0,"AvenirNextPForBBG, ""Helvetica Neue"", Helvetica, Arial, sans-serif",,
136,136.0,"AvenirNextPForBBG, ""Helvetica Neue"", Helvetica, Arial, sans-serif",,
137,137.0,"AvenirNextPForBBG, ""Helvetica Neue"", Helvetica, Arial, sans-serif",,
138,138.0,"AvenirNextPForBBG, ""Helvetica Neue"", Helvetica, Arial, sans-serif",,
139,139.0,"AvenirNextPForBBG, ""Helvetica Neue"", Helvetica, Arial, sans-serif",,
140,140.0,"AvenirNextPForBBG, ""Helvetica Neue"", Helvetica, Arial, sans-serif",,
141,141.0,"AvenirNextPForBBG, ""Helvetica Neue"", Helvetica, Arial, sans-serif",,
142,142.0,"AvenirNextPForBBG, ""Helvetica Neue"", Helvetica, Arial, sans-serif",,
143,143.0,"AvenirNextPForBBG, Helvetica, Arial, sans-serif","Bloomberg Professional Services give decision makers access to a network of information, people and ideas — all built on cutting-edge technology and best-in-class data.",
144,144.0,"AvenirNextPForBBG, Helvetica, Arial, sans-serif",,
145,145.0,"AvenirNextPForBBG, Helvetica, Arial, sans-serif",Looking for a Terminal Subscription?,
146,146.0,"AvenirNextPForBBG, Helvetica, Arial, sans-serif",ORDER NOW,
147,147.0,"AvenirNextPForBBG, Helvetica, Arial, sans-serif","Access a broad range of analysis, research, insight and actionable ideas with Bloomberg webinars.",
148,148.0,"AvenirNextPForBBG, Helvetica, Arial, sans-serif",Learn more,
149,149.0,"AvenirNextPForBBG, Helvetica, Arial, sans-serif",Discover sustainable finance,
150,150.0,"AvenirNextPForBBG, Helvetica, Arial, sans-serif",Learn more,
151,151.0,"AvenirNextPForBBG, Helvetica, Arial, sans-serif",,
152,152.0,"AvenirNextPForBBG, Helvetica, Arial, sans-serif",,
153,153.0,"AvenirNextPForBBG, Helvetica, Arial, sans-serif",ESG strategies are already a competitive differentiator. They’re about to also become a regulatory imperative.,
154,154.0,"AvenirNextPForBBG, Helvetica, Arial, sans-serif","Bloomberg’s Environmental, Social & Governance (ESG Data) dataset offers ESG metrics and ESG disclosure scores for over 11,800 companies in over 100 countries.",
155,155.0,"AvenirNextPForBBG, Helvetica, Arial, sans-serif",Learn more,
156,156.0,"AvenirNextPForBBG, Helvetica, Arial, sans-serif",Face the data. Change the world. See how partnering with Bloomberg makes a difference.,
157,157.0,"AvenirNextPForBBG, Helvetica, Arial, sans-serif","Bloomberg Professional Services connect decision makers to a dynamic network of information, people and ideas. Request a demo.",
158,158.0,"AvenirNextPForBBG, Helvetica, Arial, sans-serif","By submitting my information, I agree to the privacy policy and to learn more about products and services from Bloomberg.",
